Date,Buy_Qty,Sell_Qty,Net_Qty,Buy_Amount,Sell_Amount,Net_Amount
2025-03-02,3115,12343,-9228,949531.0,3757503.0,-2807972.0
2025-03-03,5730,2031,3699,1739015.0,617445.0,1121570.0
2025-03-04,9610,3251,6359,2912734.0,991175.0,1921559.0
2025-03-05,2921,1321,1600,858768.0,389461.0,469307.0
2025-03-06,10,1379,-1369,2940.0,405583.0,-402643.0
2025-03-09,100,2815,-2715,29020.0,822588.0,-793568.0
2025-03-10,3693,2632,1061,1061101.0,761887.0,299214.0
2025-03-11,7000,13178,-6178,1974476.0,3736346.0,-1761870.0
2025-03-12,31,2030,-1999,8772.0,572538.0,-563766.0
2025-03-16,1471,1592,-121,411979.0,446570.0,-34591.0
2025-03-17,719,1700,-981,202037.0,476000.0,-273963.0
2025-03-18,1660,1120,540,462000.0,314670.0,147330.0
2025-03-19,450,0,450,124200.0,0.0,124200.0
2025-03-20,490,10253,-9763,134862.0,2811024.0,-2676162.0
2025-03-23,1325,341,984,356173.0,91699.0,264474.0
2025-03-24,880,1381,-501,237263.0,371023.0,-133760.0
2025-03-25,4055,501,3554,1073939.0,130822.0,943117.0
2025-03-26,350,0,350,92695.0,0.0,92695.0
2025-03-27,955,780,175,259155.0,210704.0,48451.0
2025-03-30,1050,1170,-120,285950.0,323625.0,-37675.0
2025-04-01,260,966,-706,71013.0,263458.0,-192445.0
2025-04-02,100,622,-522,27200.0,170224.0,-143024.0
2025-04-03,2477,220,2257,687268.0,61556.0,625712.0
2025-04-07,721,7237,-6516,196249.0,1968833.0,-1772584.0
2025-04-08,1080,694,386,289767.0,186123.0,103644.0
2025-04-09,675,14818,-14143,182250.0,4001243.0,-3818993.0
2025-04-10,0,536,-536,0.0,146451.0,-146451.0
2025-04-13,1220,2066,-846,333195.0,566024.0,-232829.0
2025-04-15,153,2504,-2351,43595.0,693913.0,-650318.0
2025-04-16,2512,4980,-2468,712776.0,1408740.0,-695964.0
2025-04-17,37072,10993,26079,10730388.0,3174141.0,7556247.0
2025-04-20,0,17440,-17440,0.0,5051345.0,-5051345.0
2025-04-21,8330,14425,-6095,2426939.0,4169856.0,-1742917.0
2025-04-22,7940,5414,2526,2300216.0,1565655.0,734561.0
2025-04-23,3455,19384,-15929,970402.0,5460180.0,-4489778.0
2025-04-24,550,250,300,152980.0,70500.0,82480.0
2025-04-27,3532,12543,-9011,1021734.0,3645947.0,-2624213.0
2025-04-28,5415,5620,-205,1576744.0,1669570.0,-92826.0
2025-04-29,10,270,-260,2840.0,76935.0,-74095.0
2025-04-30,200,7278,-7078,58000.0,2152885.0,-2094885.0
2025-05-04,30112,21289,8823,9206834.0,6523706.0,2683128.0
2025-05-05,7467,2799,4668,2249329.0,844550.0,1404779.0
2025-05-06,9141,9750,-609,2777145.0,2970701.0,-193556.0
2025-05-07,16691,13109,3582,5180178.0,4082234.0,1097944.0
2025-05-08,9420,16216,-6796,3008267.0,5193595.0,-2185328.0
2025-05-11,5573,36546,-30973,1765621.0,11712976.0,-9947355.0
2025-05-13,2663,4208,-1545,826110.0,1308970.0,-482860.0
2025-05-14,6193,7035,-842,1856494.0,2136608.0,-280114.0
2025-05-15,6925,15072,-8147,2044880.0,4520401.0,-2475521.0
2025-05-18,600,5253,-4653,173592.0,1510715.0,-1337123.0
2025-05-19,1811,660,1151,525504.0,193995.0,331509.0
2025-05-20,100,4462,-4362,30056.0,1354003.0,-1323947.0
2025-05-21,4019,5230,-1211,1226792.0,1589261.0,-362469.0
2025-05-22,2645,13356,-10711,783221.0,3978545.0,-3195324.0
2025-05-25,0,10,-10,0.0,2900.0,-2900.0
2025-05-26,3500,10,3490,1022000.0,2927.0,1019073.0
2025-05-27,4521,5130,-609,1317336.0,1493350.0,-176014.0
2025-05-28,3015,1235,1780,888063.0,360960.0,527103.0
2025-06-02,1883,2277,-394,556333.0,681761.0,-125428.0
2025-06-03,3000,0,3000,880500.0,0.0,880500.0
2025-06-04,2639,337,2302,770488.0,98615.0,671873.0
2025-06-05,7040,916,6124,2075961.0,270067.0,1805894.0
2025-06-08,4630,6869,-2239,1399209.0,2090510.0,-691301.0
2025-06-09,10,4387,-4377,3040.0,1325787.0,-1322747.0
2025-06-10,2300,7139,-4839,698805.0,2166342.0,-1467537.0
2025-06-11,20200,7000,13200,6345140.0,2166293.0,4178847.0
2025-06-12,4033,8138,-4105,1269169.0,2570489.0,-1301320.0
2025-06-15,267,1962,-1695,81902.0,607508.0,-525606.0
2025-06-16,4150,3124,1026,1263025.0,954518.0,308507.0
2025-06-17,3038,1052,1986,907151.0,313676.0,593475.0
2025-06-18,1120,1417,-297,333280.0,423671.0,-90391.0
2025-06-19,1570,2267,-697,470310.0,682401.0,-212091.0
2025-06-22,763,379,384,223096.0,112432.0,110664.0
2025-06-23,1255,1722,-467,367292.0,504066.0,-136774.0
2025-06-24,11650,1380,10270,3420135.0,406670.0,3013465.0
2025-06-25,10409,500,9909,3048234.0,146500.0,2901734.0
2025-06-26,6500,437,6063,1893447.0,127237.0,1766210.0
2025-06-29,10376,731,9645,3008829.0,211678.0,2797151.0
2025-06-30,2990,1265,1725,869672.0,368766.0,500906.0
2025-07-01,1594,294,1300,465126.0,86406.0,378720.0
2025-07-02,2485,808,1677,731160.0,237542.0,493618.0
2025-07-03,1511,1419,92,442635.0,417264.0,25371.0
2025-07-06,0,1043,-1043,0.0,306672.0,-306672.0
2025-07-07,200,254,-54,58240.0,74516.0,-16276.0
2025-07-08,100,2312,-2212,29100.0,678297.0,-649197.0
2025-07-09,0,16897,-16897,0.0,4991122.0,-4991122.0
2025-07-10,1000,6052,-5052,293200.0,1790829.0,-1497629.0
2025-07-13,646,1230,-584,189926.0,372759.0,-182833.0
2025-07-14,1296,1017,279,380201.0,297069.0,83132.0
2025-07-15,3217,1250,1967,950026.0,369414.0,580612.0
2025-07-16,1060,905,155,312870.0,268751.0,44119.0
2025-07-17,1340,6676,-5336,406006.0,2034461.0,-1628455.0
2025-07-20,856,4923,-4067,263290.0,1502442.0,-1239152.0
2025-07-21,1290,145,1145,388960.0,43987.0,344973.0
2025-07-22,2512,7761,-5249,780407.0,2400197.0,-1619790.0
2025-07-23,20052,12920,7132,6378333.0,4139892.0,2238441.0
2025-07-24,28555,29845,-1290,9295653.0,9698197.0,-402544.0
2025-07-27,5965,17742,-11777,1942960.0,5886074.0,-3943114.0
2025-07-28,7621,2428,5193,2426140.0,771402.0,1654738.0
2025-07-29,3572,2546,1026,1144928.0,818521.0,326407.0
2025-07-30,2294,8582,-6288,715214.0,2695908.0,-1980694.0
2025-07-31,2757,4769,-2012,850090.0,1474657.0,-624567.0
2025-08-03,4357,3095,1262,1317766.0,936356.0,381410.0
2025-08-04,2724,16581,-13857,824671.0,4976960.0,-4152289.0
2025-08-05,2635,218,2417,790338.0,65387.0,724951.0
2025-08-06,1305,3823,-2518,388299.0,1134284.0,-745985.0
2025-08-07,1766,225,1541,530386.0,67604.0,462782.0
2025-08-11,1236,2906,-1670,371682.0,866814.0,-495132.0
2025-08-12,550,2200,-1650,162550.0,659300.0,-496750.0
2025-08-13,3492,5068,-1576,1042642.0,1515129.0,-472487.0
2025-08-14,4150,50,4100,1242439.0,14950.0,1227489.0
2025-08-17,923,1785,-862,273809.0,527284.0,-253475.0
2025-08-18,0,1202,-1202,0.0,355889.0,-355889.0
2025-08-19,160,50,110,47608.0,14930.0,32678.0
2025-08-20,0,200,-200,0.0,59200.0,-59200.0
2025-08-21,4610,50,4560,1356759.0,14725.0,1342034.0
2025-08-24,973,650,323,283188.0,190100.0,93088.0
2025-08-25,1096,2039,-943,318752.0,595185.0,-276433.0
