Date,Total_Investment,Current_Value,Total_PL,Day_Change,Sold_Volume
2026-02-16,17884.0,18935.0,1051.0,0.0,0.0
2026-02-17,17850.0,18589.0,739.01,0.0,24872.0
2026-02-19,17850.0,18589.0,739.01,0.0,0.0
2026-02-22,17850.0,17849.99,0.0,-18589.0,0.0
2026-02-23,17850.0,17849.99,0.0,-18589.0,0.0
2026-02-24,17850.0,17849.99,0.0,-18589.0,0.0
2026-02-25,17850.0,19190.0,1340.01,19190.0,0.0
2026-02-26,17850.0,19282.0,1432.01,92.0,0.0
2026-02-28,17850.0,19282.0,1432.01,92.0,0.0
2026-03-01,17850.0,19133.0,1283.01,1736.0,0.0
2026-03-03,17850.0,19324.0,1474.01,254.0,0.0
